Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2019-09-01,BTCUSD,9594.15,9832,9538.75,9767.53,1799.37,17385154.88
2019-09-02,BTCUSD,9767.53,10471,9753.24,10384.48,6144.8,62231973.86
2019-09-03,BTCUSD,10384.48,10783,10286,10617.61,11443.54,120927751.37
2019-09-04,BTCUSD,10617.61,10834.15,10378.7,10586.26,10088.72,106597637.79
2019-09-05,BTCUSD,10586.26,10664.13,10461.97,10573.66,4555.62,48103450.42
2019-09-06,BTCUSD,10573.66,10949,10204.18,10311.09,10701.51,113795476.17
2019-09-07,BTCUSD,10311.09,10580,10297.58,10484.39,3148.51,32951131.73
2019-09-08,BTCUSD,10484.39,10594.88,10229.49,10400.18,3130.86,32602031.64
2019-09-09,BTCUSD,10400.18,10542.93,10060,10307.45,6059.76,62421152.93
2019-09-10,BTCUSD,10307.45,10390.09,9910,10096,4658.92,47153844.31
2019-09-11,BTCUSD,10096,10243.01,9855.11,10154.46,4614.35,46415583.4
2019-09-12,BTCUSD,10154.46,10465,10027.52,10420.34,4719.05,48386409.65
2019-09-13,BTCUSD,10420.34,10458.13,10153.87,10368.65,3755.42,38681903.56
2019-09-14,BTCUSD,10368.65,10441.47,10217.01,10355.37,2656.15,27508865.4
2019-09-15,BTCUSD,10355.37,10383.2,10258.49,10305.74,2297.72,23678550.44
2019-09-16,BTCUSD,10305.74,10378.07,10060.95,10269.98,5496.04,56202919.44
2019-09-17,BTCUSD,10269.98,10280.53,10130.59,10195.73,5078.6,51836062.12
2019-09-18,BTCUSD,10195.73,10263.65,10080,10152.09,3952.01,40255745.62
2019-09-19,BTCUSD,10152.09,10380.07,9600,10271.53,7455.91,74330211.45
2019-09-20,BTCUSD,10271.53,10308.04,10055,10169.02,4463.38,45340500.13
2019-09-21,BTCUSD,10169.02,10180.43,9913.35,9985.28,4148.9,41546389.89
2019-09-22,BTCUSD,9985.28,10093.24,9842.35,10020.58,3213.95,32059845.82
2019-09-23,BTCUSD,10020.58,10048.06,9606,9682.19,5447.96,53515870.75
2019-09-24,BTCUSD,9682.19,9782,7998,8536.82,28154.41,248668254.7
2019-09-25,BTCUSD,8536.82,8746.83,8216,8432.16,17435.87,147110144.95
2019-09-26,BTCUSD,8432.16,8467.89,7733.99,8055.03,16662.32,135420525.37
2019-09-27,BTCUSD,8055.03,8294.04,7866,8187.72,10165.85,81670753.09
2019-09-28,BTCUSD,8187.72,8356.4,8009.84,8218.07,6315.49,51567016.49
2019-09-29,BTCUSD,8218.07,8244.07,7902.66,8047.6,5366.57,43218226.93
2019-09-30,BTCUSD,8047.6,8368.5,7714.7,8298.45,9518.99,76794640.31
