Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2019-12-01,BTCUSD,7550.67,7560.2,7233.87,7412.66,5477.97,40318302.94
2019-12-02,BTCUSD,7412.66,7431.07,7140.08,7309.64,4324.3,31520978.02
2019-12-03,BTCUSD,7309.64,7415,7238.04,7300.43,2552.2,18683808.38
2019-12-04,BTCUSD,7300.43,7772.71,7087.09,7197.78,7737.39,56881650.2
2019-12-05,BTCUSD,7197.78,7500,7150.06,7390.42,4641.76,34104243.99
2019-12-06,BTCUSD,7390.42,7618.99,7305.56,7541.79,4167.24,31009940.79
2019-12-07,BTCUSD,7541.79,7638.88,7486.7,7502.65,2034.57,15354337.77
2019-12-08,BTCUSD,7502.65,7580,7382.69,7524.26,1798.77,13485555.31
2019-12-09,BTCUSD,7524.26,7666,7268.03,7340.52,6582.47,48984901.86
2019-12-10,BTCUSD,7340.52,7400,7150.23,7216.07,4090.62,29794651.28
2019-12-11,BTCUSD,7216.07,7271,7122.28,7207.42,3419.94,24643079.62
2019-12-12,BTCUSD,7207.42,7296.19,7072.2,7188.42,4376.89,31435190.58
2019-12-13,BTCUSD,7188.42,7302.35,7179.65,7257.47,3178.08,22970960.45
2019-12-14,BTCUSD,7257.47,7269,7007.48,7059.03,2012.35,14334264.59
2019-12-15,BTCUSD,7059.03,7225.23,7007,7115.08,1848.35,13129364.52
2019-12-16,BTCUSD,7115.08,7147.91,6820,6882.19,5923.06,41353720.35
2019-12-17,BTCUSD,6882.19,6938.77,6550,6612.3,7107.26,47895327.08
2019-12-18,BTCUSD,6612.3,7449.68,6425,7286.91,12873.63,87907793.92
2019-12-19,BTCUSD,7286.91,7372.12,7000,7149.57,5936.56,42356210.92
2019-12-20,BTCUSD,7149.57,7218.11,7072.61,7194.11,3201.66,22903428.01
2019-12-21,BTCUSD,7194.11,7194.13,7109.73,7147.4,1689.08,12063083.6
2019-12-22,BTCUSD,7147.4,7530,7124.52,7509.7,3796.23,27923854.9
2019-12-23,BTCUSD,7509.7,7692.98,7247.86,7316.17,6710.77,50266006.27
2019-12-24,BTCUSD,7316.17,7431.1,7156,7251.52,4194.59,30637380.18
2019-12-25,BTCUSD,7251.52,7266.81,7110.73,7195.79,1504.53,10824576.03
2019-12-26,BTCUSD,7195.79,7432,7150,7188.3,3116.75,22627576.21
2019-12-27,BTCUSD,7188.3,7255.37,7052,7246,4024.57,28884846.43
2019-12-28,BTCUSD,7246,7349.65,7231,7296.24,1579.7,11528551.51
2019-12-29,BTCUSD,7296.24,7524.46,7274.43,7385.54,2583.85,19120178.74
2019-12-30,BTCUSD,7385.54,7385.54,7296.03,7296.03,961.32,7058789.95
